time,speed,throttle,brake,gear
1774799605.6074042,124,117,79,131
1774799605.6074078,124,117,79,131
1774799605.6074111,124,117,79,131
1774799605.6074138,124,117,79,131
1774799605.607416,124,117,79,131
1774799605.6074185,124,117,79,131
1774799605.6074283,124,117,79,131
1774799605.6609304,124,117,79,131
1774799605.66095,124,117,79,131
1774799605.6609616,124,117,79,131
1774799605.660965,124,117,79,131
1774799605.6609678,124,117,79,131
1774799605.660971,124,117,79,131
1774799605.6609738,124,117,79,131
1774799605.7092876,124,117,79,131
1774799605.709307,124,117,79,131
1774799605.7093134,124,117,79,131
1774799605.709319,124,117,79,131
1774799605.709323,124,117,79,131
1774799605.7093256,124,117,79,131
1774799605.7093282,124,117,79,131
1774799605.7093308,124,117,79,131
1774799605.7576804,124,117,79,131
1774799605.7576973,124,117,79,131
1774799605.7577014,124,117,79,131
1774799605.7577043,124,117,79,131
1774799605.7577074,124,117,79,131
1774799605.75771,124,117,79,131
1774799605.7577143,124,117,79,131
1774799605.8107195,124,117,79,131
1774799605.8107364,124,117,79,131
1774799605.8107402,124,117,79,131
1774799605.8107429,124,117,79,131
1774799605.8107452,124,117,79,131
1774799605.8107474,124,117,79,131
1774799605.81075,124,117,79,131
1774799605.8107636,124,117,79,131
1774799605.8586514,124,117,79,131
1774799605.8586683,124,117,79,131
1774799605.8586724,124,117,79,131
1774799605.8586836,124,117,79,131
1774799605.8586867,124,117,79,131
1774799605.8586893,124,117,79,131
1774799605.8586917,124,117,79,131
1774799605.9063518,124,117,79,131
1774799605.9063704,124,117,79,131
1774799605.9063745,124,117,79,131
1774799605.906385,124,117,79,131
1774799605.9063883,124,117,79,131
1774799605.9063933,124,117,79,131
1774799605.9063985,124,117,79,131
1774799605.9064126,124,117,79,131
1774799605.9591415,124,117,79,131
1774799605.959157,124,117,79,131
1774799605.9591606,124,117,79,131
